Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joe Harris\harrijo01,SG,27,BRK,76,76,2293,374,748,.500,183,386,.474,191,362,.528,.622,110,133,.827,52,239,291,181,38,17,121,182,1041
2,Danny Green\greenda02,SG,31,TOR,80,80,2216,293,630,.465,198,435,.455,95,195,.487,.622,37,44,.841,60,257,317,126,73,53,75,171,821
3,Seth Curry\curryse01,SG,28,POR,74,2,1399,212,465,.456,113,251,.450,99,214,.463,.577,44,52,.846,27,93,120,66,36,12,61,97,581
4,Stephen Curry\curryst01,PG,30,GSW,69,69,2331,632,1340,.472,354,810,.437,278,530,.525,.604,263,287,.916,45,324,369,361,92,25,192,166,1881
5,Danilo Gallinari\gallida01,SF,30,LAC,68,68,2059,409,884,.463,161,372,.433,248,512,.484,.554,367,406,.904,54,363,417,178,49,23,99,129,1346
6,Dāvis Bertāns\bertada01,PF,26,SAS,76,12,1632,204,453,.450,145,338,.429,59,115,.513,.610,53,60,.883,23,241,264,100,35,33,43,133,606
7,Buddy Hield\hieldbu01,SG,26,SAC,82,82,2615,623,1360,.458,278,651,.427,345,709,.487,.560,171,193,.886,106,306,412,205,58,33,146,202,1695
8,Malcolm Brogdon\brogdma01,SG,26,MIL,64,64,1832,378,748,.505,104,244,.426,274,504,.544,.575,141,152,.928,65,223,288,205,46,13,91,102,1001
9,Bryn Forbes\forbebr01,SG,25,SAS,82,81,2293,361,791,.456,176,413,.426,185,378,.489,.568,69,78,.885,18,221,239,175,45,4,80,159,967
10,Bojan Bogdanović\bogdabo02,SF,29,IND,81,81,2573,522,1051,.497,164,386,.425,358,665,.538,.575,246,305,.807,33,300,333,161,69,1,134,138,1454
11,Landry Shamet\shamela01,SG,21,TOT,79,27,1802,240,557,.431,167,396,.422,73,161,.453,.581,75,93,.806,21,113,134,117,37,10,45,155,722
12,D.J. Augustin\augusdj01,PG,31,ORL,81,81,2269,318,677,.470,131,311,.421,187,366,.511,.566,181,209,.866,41,162,203,426,52,4,128,115,948
13,Monte Morris\morrimo01,PG,23,DEN,82,6,1970,346,702,.493,94,227,.414,252,475,.531,.560,65,81,.802,35,159,194,297,73,4,52,102,851
14,Doug McDermott\mcderdo01,SF,27,IND,77,1,1340,207,422,.491,84,206,.408,123,216,.569,.590,66,79,.835,17,92,109,67,18,8,42,104,564
15,Otto Porter\porteot01,SF,25,TOT,56,43,1683,299,643,.465,104,256,.406,195,387,.504,.546,78,96,.813,54,260,314,120,82,31,65,108,780
16,Malik Beasley\beaslma01,SG,22,DEN,81,18,1879,349,737,.474,163,405,.402,186,332,.560,.584,56,66,.848,35,165,200,97,55,10,55,116,917
17,Collin Sexton\sextoco01,PG,20,CLE,82,72,2605,519,1206,.430,119,296,.402,400,910,.440,.480,214,255,.839,57,179,236,243,44,6,185,186,1371
18,Klay Thompson\thompkl01,SG,28,GSW,78,78,2652,655,1402,.467,241,599,.402,414,803,.516,.553,129,158,.816,37,262,299,186,84,47,115,157,1680
19,Nemanja Bjelica\bjeline01,PF,30,SAC,77,70,1788,284,593,.479,103,257,.401,181,336,.539,.566,70,92,.761,125,319,444,147,54,56,82,197,741
20,Kyrie Irving\irvinky01,PG,26,BOS,67,67,2214,604,1241,.487,174,434,.401,430,807,.533,.557,214,245,.873,71,264,335,464,103,34,172,167,1596
21,Mike Scott\scottmi01,PF,30,TOT,79,3,1395,168,420,.400,101,252,.401,67,168,.399,.520,22,33,.667,43,233,276,66,26,13,44,156,459
22,Karl-Anthony Towns\townska01,C,23,MIN,77,77,2545,681,1314,.518,142,355,.400,539,959,.562,.572,376,450,.836,263,691,954,259,67,125,240,292,1880
23,Patrick Beverley\beverpa01,PG,30,LAC,78,49,2137,194,477,.407,112,282,.397,82,195,.421,.524,96,123,.780,76,312,388,300,67,43,85,265,596
24,Tobias Harris\harrito02,PF,26,TOT,82,82,2847,611,1254,.487,156,393,.397,455,861,.528,.549,266,307,.866,69,576,645,229,51,37,151,184,1644
25,Kyle Korver\korveky01,SG-PF,37,TOT,70,0,1334,201,483,.416,138,348,.397,63,135,.467,.559,60,73,.822,9,153,162,81,25,12,59,106,600
26,J.J. Redick\redicjj01,SG,34,PHI,76,63,2379,452,1027,.440,240,605,.397,212,422,.502,.557,228,255,.894,20,166,186,206,32,17,101,129,1372
27,Harrison Barnes\barneha02,PF-SF,26,TOT,77,77,2533,431,1027,.420,174,441,.395,257,586,.439,.504,229,278,.824,57,304,361,115,50,13,98,122,1265
28,Luke Kennard\kennalu01,SG,22,DET,63,10,1437,228,520,.438,106,269,.394,122,251,.486,.540,51,61,.836,12,171,183,114,26,10,57,92,613
29,Patty Mills\millspa02,PG,30,SAS,82,1,1908,282,663,.425,159,404,.394,123,259,.475,.545,88,103,.854,24,158,182,245,49,10,93,129,811
30,Jerami Grant\grantje01,PF,24,OKC,80,77,2612,409,823,.497,115,293,.392,294,530,.555,.567,157,221,.710,96,321,417,79,61,100,67,214,1090
31,Joe Ingles\inglejo01,PF,31,UTA,82,82,2568,359,802,.448,189,483,.391,170,319,.533,.565,87,123,.707,35,295,330,469,98,20,193,180,994
32,Taurean Prince\princta02,SF,24,ATL,55,47,1552,262,594,.441,123,315,.390,139,279,.498,.545,95,116,.819,22,177,199,118,53,19,100,141,742
33,Nicolas Batum\batumni01,SF,30,CHO,75,72,2354,253,562,.450,116,298,.389,137,264,.519,.553,77,89,.865,71,319,390,247,71,43,117,140,699
34,Vince Carter\cartevi01,PF,42,ATL,76,9,1330,196,468,.419,123,316,.389,73,152,.480,.550,47,66,.712,31,163,194,87,44,27,48,141,562
35,Paul George\georgpa01,SF,28,OKC,77,77,2841,707,1614,.438,292,757,.386,415,857,.484,.529,453,540,.839,105,523,628,318,170,34,205,214,2159
36,Kevin Huerter\huertke01,SG,20,ATL,75,59,2048,275,657,.419,136,353,.385,139,304,.457,.522,41,56,.732,60,185,245,214,65,25,109,155,727
37,Terrence Ross\rosste01,SG,27,ORL,81,0,2150,440,1027,.428,217,566,.383,223,461,.484,.534,126,144,.875,27,253,280,135,72,29,90,119,1223
38,Dewayne Dedmon\dedmode01,C,29,ATL,64,52,1609,259,526,.492,83,217,.382,176,309,.570,.571,92,113,.814,105,375,480,90,69,71,84,214,693
39,Robert Covington\covinro01,SF,28,TOT,35,35,1203,156,362,.431,85,225,.378,71,137,.518,.548,68,89,.764,28,165,193,46,74,47,47,126,465
40,Allen Crabbe\crabbal01,SG,26,BRK,43,20,1133,137,373,.367,98,259,.378,39,114,.342,.499,41,56,.732,16,132,148,46,23,13,46,102,413
41,Khris Middleton\middlkh01,SF,27,MIL,77,77,2393,506,1148,.441,179,474,.378,327,674,.485,.519,216,258,.837,50,411,461,331,80,7,174,172,1407
42,Fred VanVleet\vanvlfr01,PG,24,TOR,64,28,1760,246,600,.410,112,296,.378,134,304,.441,.503,97,115,.843,21,146,167,307,57,20,82,110,701
43,Reggie Bullock\bullore01,SG,27,TOT,63,60,1879,245,594,.412,148,393,.377,97,201,.483,.537,73,85,.859,22,151,173,129,40,12,65,109,711
44,P.J. Tucker\tuckepj01,PF,33,HOU,82,82,2802,207,523,.396,146,387,.377,61,136,.449,.535,41,59,.695,121,358,479,96,132,39,63,252,601
45,Dion Waiters\waitedi01,SG,27,MIA,44,28,1138,198,478,.414,109,289,.377,89,189,.471,.528,22,44,.500,7,109,116,121,29,9,64,72,527
46,CJ McCollum\mccolcj01,SG,27,POR,70,70,2375,571,1243,.459,167,445,.375,404,798,.506,.527,159,192,.828,62,220,282,207,55,28,106,172,1468
47,Marcus Morris\morrima03,PF,29,BOS,75,53,2091,377,844,.447,146,389,.375,231,455,.508,.533,146,173,.844,76,382,458,109,43,25,92,181,1046
48,Justise Winslow\winslju01,SF,22,MIA,66,52,1959,324,749,.433,96,256,.375,228,493,.462,.497,86,137,.628,63,292,355,282,72,19,142,177,830
49,Zach LaVine\lavinza01,SG,23,CHI,63,62,2171,530,1135,.467,120,321,.374,410,814,.504,.520,312,375,.832,40,254,294,283,60,26,215,140,1492
50,Jayson Tatum\tatumja01,SF,20,BOS,79,79,2455,466,1036,.450,116,311,.373,350,725,.483,.506,195,228,.855,70,407,477,168,84,57,122,168,1243
51,Marco Belinelli\belinma01,SG,32,SAS,79,1,1815,285,690,.413,147,395,.372,138,295,.468,.520,112,124,.903,16,182,198,132,35,8,72,121,829
52,Wesley Matthews\matthwe02,SF-SG,32,TOT,69,68,2091,279,698,.400,150,403,.372,129,295,.437,.507,132,163,.810,32,138,170,160,54,17,91,160,840
53,Wayne Ellington\ellinwa01,SG,31,TOT,53,38,1297,184,457,.403,138,372,.371,46,85,.541,.554,39,49,.796,14,93,107,72,54,6,40,92,545
54,De'Aaron Fox\foxde01,PG,21,SAC,81,81,2546,505,1102,.458,86,232,.371,419,870,.482,.497,303,417,.727,43,261,304,590,133,45,227,204,1399
55,Kawhi Leonard\leonaka01,SF,27,TOR,60,60,2040,560,1129,.496,112,302,.371,448,827,.542,.546,364,426,.854,78,361,439,199,106,24,121,87,1596
56,Reggie Jackson\jacksre01,PG,28,DET,82,82,2289,441,1047,.421,174,471,.369,267,576,.464,.504,204,236,.864,45,171,216,344,55,9,148,208,1260
57,Damian Lillard\lillada01,PG,28,POR,80,80,2838,681,1533,.444,237,643,.369,444,890,.499,.522,468,513,.912,68,303,371,551,88,34,212,148,2067
58,D'Angelo Russell\russeda01,PG,22,BRK,81,81,2448,659,1517,.434,234,635,.369,425,882,.482,.512,160,205,.780,53,262,315,563,100,20,253,141,1712
59,Damyean Dotson\dotsoda01,SG,24,NYK,73,40,2004,290,698,.415,126,342,.368,164,356,.461,.506,73,98,.745,34,228,262,135,58,10,71,135,779
60,James Harden\hardeja01,PG,29,HOU,78,78,2867,843,1909,.442,378,1028,.368,465,881,.528,.541,754,858,.879,66,452,518,586,158,58,387,244,2818
61,Jamal Murray\murraja01,PG,21,DEN,75,74,2447,513,1173,.437,152,414,.367,361,759,.476,.502,189,223,.848,65,252,317,363,67,27,158,153,1367
62,Terrance Ferguson\fergute01,SG,20,OKC,74,74,1931,185,431,.429,106,290,.366,79,141,.560,.552,37,51,.725,33,108,141,72,40,16,47,231,513
63,Marvin Williams\willima02,PF,32,CHO,75,75,2133,275,652,.422,140,382,.366,135,270,.500,.529,66,86,.767,76,331,407,92,71,61,47,156,756
64,Brook Lopez\lopezbr01,C,30,MIL,81,81,2322,355,786,.452,187,512,.365,168,274,.613,.571,112,133,.842,33,363,396,98,51,179,82,189,1009
65,Darius Miller\milleda01,SF,28,NOP,69,15,1757,189,484,.390,133,364,.365,56,120,.467,.528,56,71,.789,14,114,128,146,40,23,59,165,567
66,Nikola Mirotić\mirotni01,PF,27,TOT,46,25,1245,238,542,.439,116,318,.365,122,224,.545,.546,105,124,.847,60,279,339,55,31,34,48,107,697
67,Dario Šarić\saricda01,PF,24,TOT,81,41,2023,304,696,.437,118,323,.365,186,373,.499,.522,132,150,.880,126,331,457,127,45,9,97,182,858
68,Mike Conley\conlemi01,PG,31,MEM,70,70,2342,490,1120,.438,155,426,.364,335,694,.483,.507,343,406,.845,40,199,239,449,94,22,130,123,1478
69,Marcus Smart\smartma01,SG,24,BOS,80,60,2200,239,567,.422,126,346,.364,113,221,.511,.533,104,129,.806,57,177,234,321,143,28,123,201,708
70,Nikola Vučević\vucevni01,C,28,ORL,80,80,2510,701,1354,.518,84,231,.364,617,1123,.549,.549,179,227,.789,224,736,960,307,81,89,159,157,1665
71,Marc Gasol\gasolma01,C,34,TOT,79,72,2436,390,870,.448,99,273,.363,291,597,.487,.505,192,253,.759,80,547,627,349,84,86,155,217,1071
72,Blake Griffin\griffbl01,PF,29,DET,75,75,2622,619,1341,.462,189,522,.362,430,819,.525,.532,414,550,.753,100,465,565,402,52,28,253,199,1841
73,Donovan Mitchell\mitchdo01,SG,22,UTA,77,77,2598,661,1530,.432,188,519,.362,473,1011,.468,.493,319,396,.806,59,257,316,322,106,31,218,208,1829
74,Lauri Markkanen\markkla01,PF,21,CHI,52,51,1682,342,795,.430,120,332,.361,222,463,.479,.506,170,195,.872,74,396,470,75,37,33,85,122,974
75,Lou Williams\willilo02,SG,32,LAC,75,1,1993,484,1138,.425,105,291,.361,379,847,.447,.471,425,485,.876,40,182,222,402,57,11,181,80,1498
76,Bogdan Bogdanović\bogdabo01,SG,26,SAC,70,17,1947,361,863,.418,134,372,.360,227,491,.462,.496,134,162,.827,40,203,243,267,72,15,117,142,990
77,Eric Gordon\gordoer01,SG,30,HOU,68,53,2158,384,938,.409,216,600,.360,168,338,.497,.525,119,152,.783,17,131,148,129,41,27,90,143,1103
78,Chris Paul\paulch01,PG,33,HOU,58,58,1857,302,720,.419,127,355,.358,175,365,.479,.508,175,203,.862,36,229,265,473,114,18,152,146,906
79,Josh Richardson\richajo01,SG,25,MIA,73,73,2539,423,1026,.412,164,460,.357,259,566,.458,.492,199,231,.861,54,209,263,298,79,34,113,200,1209
80,Rodney Hood\hoodro01,SG,26,TOT,72,49,1893,292,671,.435,84,236,.356,208,435,.478,.498,137,155,.884,25,132,157,126,59,12,55,146,805
81,Kemba Walker\walkeke02,PG,28,CHO,82,82,2863,731,1684,.434,260,731,.356,471,953,.494,.511,380,450,.844,52,309,361,484,102,34,211,131,2102
82,Langston Galloway\gallola01,SG,27,DET,80,4,1745,228,587,.388,135,380,.355,93,207,.449,.503,81,96,.844,49,122,171,85,37,8,24,135,672
83,Justin Jackson\jacksju01,SF,23,TOT,81,14,1614,217,485,.447,87,245,.355,130,240,.542,.537,62,79,.785,44,168,212,96,32,14,29,99,583
84,Gerald Green\greenge01,SG,33,HOU,73,0,1473,231,578,.400,156,441,.354,75,137,.547,.535,57,68,.838,30,152,182,40,33,27,55,126,675
85,Kelly Olynyk\olynyke01,PF,27,MIA,79,36,1812,261,564,.463,113,319,.354,148,245,.604,.563,152,185,.822,72,303,375,140,53,37,114,183,787
86,Kevin Durant\duranke01,SF,30,GSW,78,78,2702,721,1383,.521,137,388,.353,584,995,.587,.571,448,506,.885,33,464,497,457,58,84,225,155,2027
87,Terry Rozier\roziete01,PG,24,BOS,79,14,1791,258,666,.387,119,337,.353,139,329,.422,.477,73,93,.785,32,275,307,231,68,21,68,101,708
88,Bradley Beal\bealbr01,SG,25,WAS,82,82,3028,764,1609,.475,209,596,.351,555,1013,.548,.540,362,448,.808,89,322,411,448,121,58,224,226,2099
89,Avery Bradley\bradlav01,SG,28,TOT,63,63,1905,248,608,.408,86,245,.351,162,363,.446,.479,43,50,.860,43,132,175,152,41,16,89,167,625
